3_Workstation,3_Element,4_Workstation,4_Element,5_Workstation,5_Element,6_Workstation,6_Element,7_Workstation,7_Element,8_Workstation,8_Element,9_Workstation,9_Element,10_Workstation,10_Element,11_Workstation,11_Element,12_Workstation,12_Element,13_Workstation,13_Element
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,2,1,2,1,3,1,2,1,2,1,2,1,2,1,2,1,3,1,3,1,3
1,3,1,3,1,10,1,3,1,3,1,10,1,10,1,10,1,8,1,8,1,8
1,10,1,10,1,2,1,5,1,6,2,11,2,11,2,11,1,9,1,9,2,2
1,11,1,11,1,5,1,6,1,11,2,12,2,3,2,3,2,2,2,10,2,10
1,12,1,12,1,8,1,11,2,10,2,3,2,4,2,4,2,10,2,2,3,4
1,4,1,6,2,9,2,4,2,12,2,6,2,6,2,6,2,11,2,11,3,6
1,5,2,8,2,4,2,7,2,5,3,8,3,8,3,8,3,5,3,12,4,7
1,6,2,9,2,6,2,10,2,8,3,4,3,7,3,7,3,12,3,5,4,9
1,8,2,4,2,11,2,12,2,9,3,7,3,12,3,12,4,4,4,4,4,11
2,9,2,5,2,7,3,8,3,4,3,5,4,9,4,9,4,6,4,6,5,5
2,7,2,7,2,12,3,9,3,7,3,9,4,5,4,5,4,7,4,7,5,12
2,13,2,13,3,13,3,13,3,13,4,13,4,13,4,13,5,13,5,13,6,13
2,14,2,14,3,14,3,14,4,14,4,14,5,14,5,14,6,14,6,14,7,14
2,18,3,15,3,18,4,18,4,15,5,18,5,18,5,18,6,18,7,18,8,18
2,19,3,18,3,19,4,19,5,16,5,22,6,15,6,15,7,22,7,22,8,22
2,22,3,19,4,15,4,22,5,18,5,19,6,19,6,29,7,23,7,23,8,23
2,25,3,22,4,16,4,26,5,22,6,15,7,22,7,22,7,19,8,15,9,15
3,20,3,25,4,22,4,20,5,29,6,25,7,25,7,23,8,15,9,19,10,19
3,21,3,20,4,26,4,23,6,19,7,26,7,29,7,19,8,20,9,25,10,25
3,15,4,21,4,20,5,15,6,25,7,16,8,20,8,25,9,16,10,26,11,26
3,16,4,16,5,23,5,16,6,26,7,27,8,16,8,20,9,17,10,27,11,27
3,26,4,26,5,21,5,25,6,20,7,29,8,26,8,26,9,26,10,29,11,29
3,23,4,27,5,24,6,21,6,23,8,20,8,23,9,16,10,25,11,20,12,20
3,24,4,23,5,17,6,24,7,26,8,21,8,24,9,21,10,27,11,16,12,16
3,27,4,24,5,25,6,17,7,27,8,28,9,21,9,24,10,29,11,17,12,17
3,28,4,17,5,27,6,27,7,21,8,23,9,17,9,17,11,21,11,21,12,21
3,29,4,28,5,28,6,28,7,24,8,24,9,27,10,27,11,24,12,28,13,28
3,17,4,29,5,29,6,29,7,17,8,17,9,28,10,28,11,28,12,24,13,24
3,30,4,30,5,30,6,30,7,30,8,30,9,30,10,30,11,30,12,30,13,30
3,31,4,31,5,31,6,31,7,31,8,31,9,31,10,31,11,31,12,31,13,31
