Element,Description,Element_Time,Element_Percent,Super,Ultra,Mega,Labor_Time,Labor_Percent
1,"Place Frame on Holder and Secure",0.8,0.025157233,0.35,0.45,0.2,0.8,0.027894003
2,"Install Internal Heat Exchange Pipes",1.5,0.047169811,0.35,0.45,0.2,1.5,0.052301255
3,"Install Compressor Motor and Pump",1,0.031446541,0.35,0.45,0.2,1,0.034867503
4,"Install Compressor Electrical Kit",1.3,0.040880503,0.35,0.45,0.2,1.3,0.045327755
5,"Connect IHEPs to Compressor",0.5,0.01572327,0.35,0.45,0.2,0.5,0.017433752
6,"Install Defrost Heater",0.7,0.022012579,0.35,0.45,0.2,0.7,0.024407252
7,"Install Defrost Drain Tube",0.7,0.022012579,0.35,0.45,0.2,0.7,0.024407252
8,"Install Water Filter",0.8,0.025157233,0,0.45,0.2,0.52,0.018131102
9,"Connect and Route Water Pipes",0.5,0.01572327,0,0.45,0.2,0.325,0.011331939
10,"Install Basic Electronics Control Board",1.2,0.037735849,0.35,0.45,0,0.96,0.033472803
11,"Install Advanced Electronics Control Board",1.5,0.047169811,0,0,0.2,0.3,0.010460251
12,"Connect and Route Electrical Wires",2,0.062893082,0.35,0.45,0.2,2,0.069735007
13,"Install Internal Panels",2.5,0.078616352,0.35,0.45,0.2,2.5,0.087168759
14,"Install Evaporator and Fans",1.5,0.047169811,0.35,0.45,0.2,1.5,0.052301255
15,'Install External Panels",2.2,0.06918239,0.35,0.45,0.2,2.2,0.076708508
16,"Install External Heat Exchange Pipes",1.2,0.037735849,0.35,0.45,0.2,1.2,0.041841004
17,"Connect EHEPs to Compressor",0.5,0.01572327,0.35,0.45,0.2,0.5,0.017433752
18,"Install Door Brackets",0.8,0.025157233,0.35,0.45,0.2,0.8,0.027894003
19,"Install Freezer Compartment Door",1.1,0.034591195,0.35,0.45,0.2,1.1,0.038354254
20,"Install Icemaker",0.5,0.01572327,0,0.45,0.2,0.325,0.011331939
21,"Connect Water Pipes to Icemaker",0.5,0.01572327,0,0.45,0.2,0.325,0.011331939
22,"Install Refrigerator Compartment Door",1.3,0.040880503,0.35,0.45,0.2,1.3,0.045327755
23,"Install Touchscreen to Door",0.7,0.022012579,0,0,0.2,0.14,0.00488145
24,"Connect Touchscreen Electrical Wires",0.9,0.028301887,0,0.45,0.2,0.585,0.02039749
25,"Install Sensors and Switches",1.3,0.040880503,0.35,0.45,0.2,1.3,0.045327755
26,"Install Lighting",1,0.031446541,0.35,0.45,0.2,1,0.034867503
27,"Connect Remaining Electrical Wires",0.7,0.022012579,0.35,0.45,0.2,0.7,0.024407252
28,"Assemble Internal Shelves and Drawers",1,0.031446541,0.35,0.45,0.2,1,0.034867503
29,"Install Feet and Wheels",0.7,0.022012579,0.35,0.45,0.2,0.7,0.024407252
30,"Visual and Structural Inspection",0.5,0.01572327,0.35,0.45,0.2,0.5,0.017433752
31,"Remove from Holder and Package",0.4,0.012578616,0.35,0.45,0.2,0.4,0.013947001
