Year,Leading_Cause_of_Death,Total_Deaths,Total_Population
1905,Tuberculosis,850000,60000000
1906,Tuberculosis,860000,61000000
1907,Tuberculosis,870000,62000000
1908,Tuberculosis,880000,63000000
1909,Tuberculosis,890000,64000000
1910,Tuberculosis,900000,65000000
1911,Tuberculosis,910000,66000000
1912,Tuberculosis,920000,67000000
1913,Tuberculosis,930000,68000000
1914,Tuberculosis,940000,69000000
1915,War,1200000,68000000
1916,War,1300000,67000000
1917,War,1400000,66000000
1918,Influenza,1500000,65000000
1919,Tuberculosis,1000000,65500000
1920,Tuberculosis,990000,66000000
1921,Tuberculosis,980000,66500000
1922,Tuberculosis,970000,67000000
1923,Tuberculosis,960000,67500000
1924,Tuberculosis,950000,68000000
1925,Tuberculosis,940000,68500000
1926,Tuberculosis,930000,69000000
1927,Tuberculosis,920000,69500000
1928,Tuberculosis,910000,70000000
1929,Tuberculosis,900000,70500000
1930,Tuberculosis,890000,71000000
1931,Tuberculosis,880000,71500000
1932,Tuberculosis,870000,72000000
1933,Tuberculosis,860000,72500000
1934,Tuberculosis,850000,73000000
1935,Tuberculosis,840000,73500000
1936,Tuberculosis,830000,74000000
1937,Tuberculosis,820000,74500000
1938,Tuberculosis,810000,75000000
1939,War,1000000,74000000
1940,War,1100000,73000000
1941,War,1200000,72000000
1942,War,1300000,71000000
1943,War,1400000,70000000
1944,War,1500000,69000000
1945,War,1600000,68000000
1946,Tuberculosis,1000000,68500000
1947,Tuberculosis,990000,69000000
1948,Tuberculosis,980000,69500000
1949,Tuberculosis,970000,70000000
1950,Tuberculosis,960000,70500000
1951,Tuberculosis,950000,71000000
1952,Tuberculosis,940000,71500000
1953,Tuberculosis,930000,72000000
1954,Tuberculosis,920000,72500000
1955,Tuberculosis,910000,73000000
1956,Tuberculosis,900000,73500000
1957,Cerebrovascular,890000,74000000
1958,Cerebrovascular,880000,74500000
1959,Cerebrovascular,870000,75000000
1960,Cerebrovascular,860000,75500000
1961,Cerebrovascular,850000,76000000
1962,Cerebrovascular,840000,76500000
1963,Cerebrovascular,830000,77000000
1964,Cerebrovascular,820000,77500000
1965,Cerebrovascular,810000,78000000
1966,Cerebrovascular,800000,78500000
1967,Cerebrovascular,790000,79000000
1968,Cerebrovascular,780000,79500000
1969,Cerebrovascular,770000,80000000
1970,Cerebrovascular,760000,80500000
1971,Cerebrovascular,750000,80900000
1972,Cerebrovascular,740000,81300000
1973,Cerebrovascular,730000,81700000
1974,Cerebrovascular,720000,82100000
1975,Cerebrovascular,710000,82500000
1976,Cerebrovascular,700000,82900000
1977,Cerebrovascular,690000,83300000
1978,Cerebrovascular,680000,83700000
1979,Cerebrovascular,670000,84100000
1980,Cerebrovascular,660000,84500000
1981,Cardiovascular,650000,84900000
1982,Cardiovascular,640000,85300000
1983,Cardiovascular,630000,85700000
1984,Cardiovascular,620000,86100000
1985,Cardiovascular,610000,86500000
1986,Cardiovascular,600000,86900000
1987,Cardiovascular,590000,87300000
1988,Cardiovascular,580000,87700000
1989,Cardiovascular,570000,88100000
1990,Cardiovascular,921445,80275000
1991,Cardiovascular,911245,80016000
1992,Cardiovascular,885443,80975000
1993,Cardiovascular,897270,81338000
1994,Cardiovascular,884661,81539000
1995,Cardiovascular,884588,81820000
1996,Cardiovascular,882843,82012000
1997,Cardiovascular,860389,82057000
1998,Cardiovascular,852382,82029000
1999,Cardiovascular,846330,82188000
2000,Cardiovascular,838797,82259000
2001,Cardiovascular,828541,82386000
2002,Cardiovascular,841686,82536000
2003,Cardiovascular,853946,82531000
2004,Cardiovascular,818271,82496000
2005,Cardiovascular,830227,82463000
2006,Cardiovascular,821627,82379000
2007,Cardiovascular,827155,82260000
2008,Cardiovascular,844439,82110000
2009,Cardiovascular,854544,81896000
2010,Cardiovascular,858768,81777000
2011,Cardiovascular,852328,80200000
2012,Cardiovascular,869582,80425000
2013,Cardiovascular,893825,80767000
2014,Cardiovascular,868356,81084000
2015,Cardiovascular,925200,81686000
2016,Cardiovascular,910902,82348000
2017,Cardiovascular,932272,82657000
2018,Cardiovascular,954874,82928000
2019,Cardiovascular,939520,83132000
2020,Cardiovascular,985572,83196000
2021,Cardiovascular,1023687,83222000
2022,Cardiovascular,1066341,84300000
2023,Cardiovascular,1028206,84600000
2024,Cardiovascular,1007758,84700000
