Year,Leading_Cause_of_Death,Total_Deaths,Total_Population
1905,Tuberculosis,650000,43000000
1906,Tuberculosis,645000,43200000
1907,Tuberculosis,640000,43400000
1908,Tuberculosis,635000,43600000
1909,Tuberculosis,630000,43800000
1910,Tuberculosis,625000,44000000
1911,Tuberculosis,620000,44200000
1912,Tuberculosis,615000,44400000
1913,Tuberculosis,610000,44600000
1914,Tuberculosis,605000,44800000
1915,War,800000,44000000
1916,War,900000,43500000
1917,War,1000000,43000000
1918,Influenza,1200000,42500000
1919,Tuberculosis,600000,42800000
1920,Tuberculosis,590000,43100000
1921,Tuberculosis,580000,43400000
1922,Tuberculosis,570000,43700000
1923,Tuberculosis,560000,44000000
1924,Tuberculosis,550000,44300000
1925,Tuberculosis,540000,44600000
1926,Tuberculosis,530000,44900000
1927,Tuberculosis,520000,45200000
1928,Tuberculosis,510000,45500000
1929,Tuberculosis,500000,45800000
1930,Tuberculosis,490000,46100000
1931,Tuberculosis,480000,46400000
1932,Tuberculosis,470000,46700000
1933,Tuberculosis,460000,47000000
1934,Tuberculosis,450000,47300000
1935,Tuberculosis,440000,47600000
1936,Tuberculosis,430000,47900000
1937,Tuberculosis,420000,48200000
1938,Tuberculosis,410000,48500000
1939,War,500000,48000000
1940,War,550000,47500000
1941,War,600000,47000000
1942,War,650000,46500000
1943,War,700000,46000000
1944,War,750000,45500000
1945,War,800000,45000000
1946,Tuberculosis,500000,46000000
1947,Tuberculosis,490000,46500000
1948,Tuberculosis,480000,47000000
1949,Tuberculosis,470000,47500000
1950,Tuberculosis,460000,48000000
1951,Tuberculosis,450000,48500000
1952,Tuberculosis,440000,49000000
1953,Cardiovascular,580000,49500000
1954,Cardiovascular,570000,50000000
1955,Cardiovascular,560000,50500000
1956,Cardiovascular,550000,51000000
1957,Cardiovascular,540000,51500000
1958,Cardiovascular,530000,52000000
1959,Cardiovascular,520000,52500000
1960,Cardiovascular,510000,52800000
1961,Cardiovascular,500000,53100000
1962,Cardiovascular,490000,53400000
1963,Cardiovascular,480000,53700000
1964,Cardiovascular,470000,54000000
1965,Cardiovascular,460000,54300000
1966,Cardiovascular,450000,54600000
1967,Cardiovascular,440000,54900000
1968,Cardiovascular,430000,55200000
1969,Cardiovascular,420000,55500000
1970,Cardiovascular,410000,55800000
1971,Cardiovascular,665000,56000000
1972,Cardiovascular,650000,56200000
1973,Cardiovascular,640000,56400000
1974,Cardiovascular,630000,56600000
1975,Cardiovascular,620000,56800000
1976,Cardiovascular,610000,57000000
1977,Cardiovascular,600000,57200000
1978,Cardiovascular,590000,57400000
1979,Cardiovascular,580000,57600000
1980,Cardiovascular,570000,57800000
1981,Cardiovascular,560000,58000000
1982,Cardiovascular,550000,58200000
1983,Cardiovascular,540000,58400000
1984,Cardiovascular,530000,58600000
1985,Cardiovascular,520000,58800000
1986,Cardiovascular,510000,59000000
1987,Cardiovascular,500000,59200000
1988,Cardiovascular,490000,59400000
1989,Cardiovascular,480000,59600000
1990,Cardiovascular,655000,57200000
1991,Cardiovascular,650000,57500000
1992,Cardiovascular,645000,57800000
1993,Cardiovascular,640000,58100000
1994,Cardiovascular,635000,58400000
1995,Cardiovascular,630000,58700000
1996,Cardiovascular,625000,59000000
1997,Cardiovascular,620000,59300000
1998,Cardiovascular,615000,59600000
1999,Cardiovascular,610000,59900000
2000,Cardiovascular,605000,60200000
2001,Cardiovascular,600000,60400000
2002,Cardiovascular,95000,60600000
2003,Cardiovascular,590000,60800000
2004,Cardiovascular,585000,61000000
2005,Cardiovascular,580000,61200000
2006,Cardiovascular,575000,61400000
2007,Cardiovascular,570000,61600000
2008,Cardiovascular,565000,61800000
2009,Cardiovascular,560000,62000000
2010,Cardiovascular,555000,62200000
2011,Cardiovascular,550000,62500000
2012,Cardiovascular,545000,62800000
2013,Cardiovascular,540000,63100000
2014,Cardiovascular,535000,63400000
2015,Cardiovascular,530000,63700000
2016,Cardiovascular,525000,64000000
2017,Cardiovascular,520000,64300000
2018,Cardiovascular,515000,64600000
2019,Cardiovascular,510000,64900000
2020,Cardiovascular,600000,65200000
2021,Cardiovascular,665000,65500000
2022,Cardiovascular,640000,65700000
2023,Cardiovascular,620000,65900000
2024,Cardiovascular,610000,66100000
