Year,Leading_Cause_of_Death,Total_Deaths,Total_Population
1905,Influenza,1306000,84500000
1906,Tuberculosis,1322000,86100000
1907,Tuberculosis,1338000,87800000
1908,Tuberculosis,1355000,89500000
1909,Tuberculosis,1371000,91200000
1910,Tuberculosis,1402000,92200000
1911,Tuberculosis,1434000,93800000
1912,Tuberculosis,1466000,95500000
1913,Tuberculosis,1499000,97200000
1914,Tuberculosis,1532000,98900000
1915,Tuberculosis,1565000,100600000
1916,Tuberculosis,1599000,102300000
1917,Tuberculosis,1633000,104000000
1918,Influenza,1923000,105700000
1919,Tuberculosis,1690000,107400000
1920,Cardiovascular,1725000,106000000
1921,Cardiovascular,1750000,107700000
1922,Cardiovascular,1775000,109500000
1923,Cardiovascular,1800000,111200000
1924,Cardiovascular,1825000,112900000
1925,Cardiovascular,1850000,114600000
1926,Cardiovascular,1875000,116300000
1927,Cardiovascular,1900000,118000000
1928,Cardiovascular,1925000,119700000
1929,Cardiovascular,1950000,121400000
1930,Cardiovascular,1975000,122800000
1931,Cardiovascular,2000000,124200000
1932,Cardiovascular,2025000,125500000
1933,Cardiovascular,2050000,126800000
1934,Cardiovascular,2075000,128100000
1935,Cardiovascular,2100000,129400000
1936,Cardiovascular,2125000,130700000
1937,Cardiovascular,2150000,132000000
1938,Cardiovascular,2175000,133300000
1939,Cardiovascular,2200000,134600000
1940,Cardiovascular,2225000,132200000
1941,Cardiovascular,2250000,133400000
1942,Cardiovascular,2275000,134900000
1943,Cardiovascular,2300000,136700000
1944,Cardiovascular,2325000,138400000
1945,Cardiovascular,2350000,139900000
1946,Cardiovascular,2375000,141400000
1947,Cardiovascular,2400000,144100000
1948,Cardiovascular,2425000,146600000
1949,Cardiovascular,2450000,149200000
1950,Cardiovascular,2475000,152300000
1951,Cardiovascular,2500000,154900000
1952,Cardiovascular,2525000,157600000
1953,Cardiovascular,2550000,160200000
1954,Cardiovascular,2575000,163000000
1955,Cardiovascular,2600000,165900000
1956,Cardiovascular,2625000,168900000
1957,Cardiovascular,2650000,172000000
1958,Cardiovascular,2675000,174900000
1959,Cardiovascular,2700000,177800000
1960,Cardiovascular,1711982,180700000
1961,Cardiovascular,1739818,183700000
1962,Cardiovascular,1768802,186500000
1963,Cardiovascular,1813101,189200000
1964,Cardiovascular,1808000,191900000
1965,Cardiovascular,1828136,194300000
1966,Cardiovascular,1851336,196600000
1967,Cardiovascular,1852000,198700000
1968,Cardiovascular,1930000,200700000
1969,Cardiovascular,1931000,202700000
1970,Cardiovascular,1929000,205100000
1971,Cardiovascular,1927000,207700000
1972,Cardiovascular,1963000,209900000
1973,Cardiovascular,1973000,211900000
1974,Cardiovascular,1934000,213900000
1975,Cardiovascular,1910000,216000000
1976,Cardiovascular,1910000,218000000
1977,Cardiovascular,1908000,220200000
1978,Cardiovascular,1927000,222600000
1979,Cardiovascular,1913000,225100000
1980,Cardiovascular,1989841,227200000
1981,Cardiovascular,1977981,229500000
1982,Cardiovascular,1986518,231700000
1983,Cardiovascular,2014605,233800000
1984,Cardiovascular,2039369,235800000
1985,Cardiovascular,2086440,237900000
1986,Cardiovascular,2100000,240100000
1987,Cardiovascular,2123000,242300000
1988,Cardiovascular,2168000,244500000
1989,Cardiovascular,2150000,246800000
1990,Cardiovascular,2148463,249400000
1991,Cardiovascular,2169511,252100000
1992,Cardiovascular,2177983,255000000
1993,Cardiovascular,2268553,257700000
1994,Cardiovascular,2276596,260300000
1995,Cardiovascular,2312132,262800000
1996,Cardiovascular,2314690,265200000
1997,Cardiovascular,2321453,267700000
1998,Cardiovascular,2337256,270300000
1999,Cardiovascular,2391399,272700000
2000,Cardiovascular,2403351,282200000
2001,Cardiovascular,2416425,285000000
2002,Cardiovascular,2443387,287600000
2003,Cardiovascular,2448286,290100000
2004,Cardiovascular,2395689,292800000
2005,Cardiovascular,2448017,295500000
2006,Cardiovascular,2426264,298400000
2007,Cardiovascular,2423712,301200000
2008,Cardiovascular,2471984,304100000
2009,Cardiovascular,2437163,306800000
2010,Cardiovascular,2468435,308700000
2011,Cardiovascular,2515458,311600000
2012,Cardiovascular,2543279,313800000
2013,Cardiovascular,2596993,316000000
2014,Cardiovascular,2626418,318300000
2015,Cardiovascular,2712630,320700000
2016,Cardiovascular,2746937,323100000
2017,Cardiovascular,2813503,325100000
2018,Cardiovascular,2839205,326800000
2019,Cardiovascular,2854838,328300000
2020,Cardiovascular,3383726,331500000
2021,Cardiovascular,3453880,332000000
2022,Cardiovascular,3273705,333300000
2023,Cardiovascular,3090964,334900000
2024,Cardiovascular,2980000,341800000
